0.6,77.634,0.55143,0.38,0.56571,17,98.58,76.12,82,83.32,93.64,92.78
0.6,73.377,0.57429,0.46571,0.49143,5.34,79.34,87.68,77.34,83.9,85.08,94.96
0.6,91.314,0.70286,0.15429,0.42571,76.48,90.62,90.96,92.94,92.58,96.92,98.7
0.6,88.431,0.59714,0.24,0.52857,48.66,99.02,93.24,96.68,92.58,92.84,96
0.6,84.397,0.67714,0.28,0.49714,51.12,77.94,82.16,87.08,94.04,98.64,99.8
0.65,81.369,0.62857,0.32857,0.47143,35.84,88.26,95.34,86.2,79.68,88.04,96.22
0.65,82.569,0.57714,0.33143,0.54857,34.34,100,94.2,90.8,82.38,87.94,88.32
0.65,90.96,0.78,0.16286,0.32857,76.04,85.8,89.9,91.72,96.48,99.4,97.38
0.65,91.034,0.72286,0.16286,0.46571,82.62,86.74,85.06,93.62,93.8,96.46,98.94
0.65,91.123,0.62571,0.19143,0.53429,90.62,84.14,85.54,91.96,93.6,93.88,98.12
0.7,67.511,0.46571,0.61143,0.70857,42.5,41.34,62.36,76.2,73.7,86.82,89.66
0.7,82,0.59714,0.33714,0.50286,45.08,72.12,92.78,91,84.1,91.86,97.06
0.7,78.746,0.54571,0.42,0.63143,51.7,76.92,61.48,83.8,89.66,94.54,93.12
0.7,82.531,0.48286,0.39714,0.67143,64.96,79.04,81.78,78.98,88.74,89.18,95.04
0.7,77.154,0.56,0.43143,0.58,27.08,96.18,77.56,74.56,85.62,84.34,94.74
0.75,67.991,0.45714,0.54571,0.68286,7.34,77.96,87.1,76.32,67.18,75,85.04
0.75,82.78,0.51714,0.37143,0.56,64.46,87.06,83.18,76.38,83.7,90.46,94.22
0.75,77.803,0.48571,0.4,0.57143,24.6,94.52,72.88,79.34,88.38,89.3,95.6
0.75,81.7,0.45714,0.38571,0.60857,73.14,84.74,66.5,83.32,76.92,90.86,96.42
0.75,83.017,0.54286,0.33714,0.58,68.58,73.6,80.42,83.22,86.78,89.24,99.28
0.8,84.44,0.55143,0.32857,0.57429,73.1,81.72,85.96,79.2,82.22,94.52,94.36
0.8,73.566,0.50286,0.44857,0.61143,8.86,90.66,88.6,72.98,75.26,85.76,92.84
0.8,71.914,0.46571,0.46571,0.62286,5.06,92.12,82.96,65.44,76.98,84.6,96.24
0.8,82.594,0.46857,0.34571,0.71714,80.1,44.54,79.92,85.68,94.82,93.66,99.44
0.8,88.054,0.44857,0.28,0.65143,84.58,74.74,79.88,84.62,96,96.62,99.94
0.85,77.943,0.39143,0.42857,0.66571,76.9,70.12,51.64,68.54,83.74,95.2,99.46
0.85,86.649,0.43429,0.33143,0.65714,89.7,75.54,74.82,84.52,89.66,95.66,96.64
0.85,67.169,0.47143,0.55714,0.57143,2.84,93.6,81.68,64.5,65.3,78.5,83.76
0.85,71.02,0.44,0.44857,0.62286,3.4,97.34,68.28,60.52,76.82,92.1,98.68
0.85,71.706,0.41429,0.48286,0.67143,61.66,48.06,42.52,77.88,78.4,93.44,99.98
0.9,71.417,0.42571,0.51714,0.63143,59.46,53.02,49.14,60.14,83.86,96.22,98.08
0.9,69.191,0.45714,0.48571,0.60571,8.58,88.3,58.34,51.48,82.46,97.68,97.5
0.9,64.763,0.42,0.59143,0.67429,41.78,37.9,42.38,66.8,75.98,89.94,98.56
0.9,69.58,0.42286,0.52857,0.61143,6.04,93.24,76.22,59.56,78.8,80.92,92.28
0.9,86.449,0.42857,0.32286,0.70286,94.74,68.76,69,85.54,90.28,98.38,98.44
0.95,68.986,0.42,0.53714,0.72286,48.36,33.16,46.74,69.38,89.54,95.72,100
0.95,58.623,0.51714,0.58857,0.55429,3.34,25.9,32.2,61.88,89.9,97.88,99.26
0.95,59.931,0.42857,0.58571,0.7,6.12,25.38,42.2,66.68,85.48,94.02,99.64
0.95,72.391,0.44,0.51143,0.59714,70.78,36.22,54.44,64.2,91.42,92.22,97.46
0.95,53.309,0.58286,0.66,0.45714,2.92,42.24,43.14,43.04,62.32,87.5,92
1,74.254,0.68571,0.34,0.36857,4.2,28.76,87.5,99.46,99.86,100,100
1,71.769,0.40571,0.51143,0.72,60.54,29.88,50.8,79.34,88.72,94.2,98.9
1,79.831,0.51714,0.29143,0.64286,18.82,50.24,91.72,99.36,98.68,100,100
1,70.683,0.42,0.50857,0.76,32.28,29.22,56.14,85.9,94.64,96.84,99.76
1,76.123,0.39429,0.5,0.68571,39.6,52.48,69.4,81.28,93.14,98.08,98.88
